Product ID;Product Name;Model Number;Language Code;Store (Store 1 :: Store 2);Description;Meta Title;Meta Description;Meta Keyword;Tag;Product Image;SKU;UPC;EAN;JAN;ISBN;MPN;Location;Price;Minimum Quantity;Quantity;"Status 
(Enabled=1/Disabled=0)";Sort Order;Tax Class ID;Tax Class;"Subtract 
(Yes=1/No=0)";Stock Status ID;Stock Status;"Shipping Required 
(Yes=1/No=0)";"SEO Keyword 
(unique to store and without space)";Date Available (YYYY-MM-DD);Length;Length Class ID;Length Class;Width;Height;Weight;Weight Class ID;Weight Class;Manufacturer ID;Manufacturer;"Categories 
Category ID 1, Category ID 2";"Categories Name 
Category 1 :: Category 2";"Filter 
Group Name - Value :: Group Name - Value";"Download 
Download 1 :: Download 2";"Related Products 
Product ID 1, Product ID 2";"Attribute 
Name::Group::Value; Name::Group::Value";"Options 
Option Name 1 :: Type 1 :: Required 1 :: value 1.1 ^^ Value 1.2 ^^ Value 1.3 || value 1.1 ^^ Value 1.2 ^^ Value 1.3 ;; 
Option Name 2 :: Type 2 :: Required 2 :: value 2.1 ^^ Value 2.2 ^^ Value 2.3 || value 1.1 ^^ Value 1.2 ^^ Value 1.3 ;;";"Discount 
CustomerGroup::Quantity::Priority::Price::DateStart::DateEnd;";"Special 
CustomerGroup::Priority::Price::DateStart::DateEnd;";"Additional Images 
Image1 :: Image2";Reward Points;"Reward CustomerGroup::Points;";Viewed;Date Added (YYYY-MM-DD HH:MM:SS);Date Modified (YYYY-MM-DD HH:MM:SS);"Reviews 
(CustomerID::Author::Text::
Rating::Status::DateAdded::DateModified;;)";;;;;
2410010026;Chorizo … cuire;2410010026;fr-fr;0;Chorizo … cuire;Chorizo … cuire;Chorizo … cuire;Chorizo … cuire;Chorizo … cuire;;Chorizo … cuire;;;2410010026;;;;0,95;;1;0;;12;;1;7;;;Chorizo … cuire;;;;;;;;;;19;;228,489,494;;Proximit‚ PGC - Proximit‚;;;;;;;;;;;2009-02-03 16:59:27;2009-02-03 16:59:27;;;;;;
2410010027;Boudin noir;2410010027;fr-fr;0;Boudin noir;Boudin noir;Boudin noir;Boudin noir;Boudin noir;catalog/PRODUIT/LAZINIERE/2410010027-1.jpg;Boudin noir;;;2410010027;;;;0,95;;1;1;;12;;1;7;;;Boudin noir;;;;;;;;;;19;;228,489,494;;Proximit‚ PGC - Proximit‚;;;;;;;catalog/PRODUIT/LAZINIERE/2410010027-2.jpg;;;;2009-02-03 16:59:28;2009-02-03 16:59:28;;;;;;
2410010028;Boudin blanc;2410010028;fr-fr;0;Boudin blanc;Boudin blanc;Boudin blanc;Boudin blanc;Boudin blanc;;Boudin blanc;;;2410010028;;;;0,95;;1;0;;12;;1;7;;;Boudin blanc;;;;;;;;;;19;;228,489,494;;Proximit‚ PGC - Proximit‚;;;;;;;;;;;2009-02-03 16:59:29;2009-02-03 16:59:29;;;;;;
2410010029;Andouillette;2410010029;fr-fr;0;Andouillette;Andouillette;Andouillette;Andouillette;Andouillette;catalog/PRODUIT/LAZINIERE/2410010029-1.jpg;Andouillette;;;2410010029;;;;0,95;;1;1;;12;;1;7;;;Andouillette;;;;;;;;;;19;;228,489,494;;Proximit‚ PGC - Proximit‚;;;;;;;;;;;2009-02-03 16:59:30;2009-02-03 16:59:30;;;;;;
2410010030;Saumon fum‚ artisanal;2410010030;fr-fr;0;Saumon fum‚ artisanal;Saumon fum‚ artisanal;Saumon fum‚ artisanal;Saumon fum‚ artisanal;Saumon fum‚ artisanal;;Saumon fum‚ artisanal;;;2410010030;;;;0,95;;1;0;;12;;1;7;;;Saumon fum‚ artisanal;;;;;;;;;;19;;227,479,489;;Proximit‚ PGC - Proximit‚;;;;;;;;;;;2009-02-03 16:59:31;2009-02-03 16:59:31;;;;;;
2410010031;Gratton de porc;2410010031;fr-fr;0;Gratton de porc;Gratton de porc;Gratton de porc;Gratton de porc;Gratton de porc;catalog/PRODUIT/LAZINIERE/2410010031-1.jpg;Gratton de porc;;;2410010031;;;;0,95;;1;1;;12;;1;7;;;Gratton de porc;;;;;;;;;;19;;228,484,489;;Proximit‚ PGC - Proximit‚;;;;;;;;;;;2009-02-03 16:59:32;2009-02-03 16:59:32;;;;;;
2410010032;Gratton de canard;2410010032;fr-fr;0;Gratton de canard;Gratton de canard;Gratton de canard;Gratton de canard;Gratton de canard;catalog/PRODUIT/LAZINIERE/2410010032-1.jpg;Gratton de canard;;;2410010032;;;;0,95;;1;1;;12;;1;7;;;Gratton de canard;;;;;;;;;;19;;228,484,489;;Proximit‚ PGC - Proximit‚;;;;;;;;;;;2009-02-03 16:59:33;2009-02-03 16:59:33;;;;;;
2410010033;Pƒt‚ de campagne;2410010033;fr-fr;0;Pƒt‚ de campagne;Pƒt‚ de campagne;Pƒt‚ de campagne;Pƒt‚ de campagne;Pƒt‚ de campagne;catalog/PRODUIT/LAZINIERE/2410010033-1.jpg;Pƒt‚ de campagne;;;2410010033;;;;0,95;;1;1;;12;;1;7;;;Pƒt‚ de campagne;;;;;;;;;;19;;228,484,489;;Proximit‚ PGC - Proximit‚;;;;;;;;;;;2009-02-03 16:59:34;2009-02-03 16:59:34;;;;;;
2410010034;Petit pƒt‚ rond;2410010034;fr-fr;0;Petit pƒt‚ rond;Petit pƒt‚ rond;Petit pƒt‚ rond;Petit pƒt‚ rond;Petit pƒt‚ rond;catalog/PRODUIT/LAZINIERE/2410010034-1.jpg;Petit pƒt‚ rond;;;2410010034;;;;0,95;;1;1;;12;;1;7;;;Petit pƒt‚ rond;;;;;;;;;;19;;228,484,489;;Proximit‚ PGC - Proximit‚;;;;;;;catalog/PRODUIT/LAZINIERE/2410010034-2.jpg;;;;2009-02-03 16:59:35;2009-02-03 16:59:35;;;;;;
2410010035;Coustille de porc;2410010035;fr-fr;0;Coustille de porc;Coustille de porc;Coustille de porc;Coustille de porc;Coustille de porc;catalog/PRODUIT/LAZINIERE/2410010035-1.jpg;Coustille de porc;;;2410010035;;;;0,95;;1;1;;12;;1;7;;;Coustille de porc;;;;;;;;;;19;;226,475,489;;Proximit‚ PGC - Proximit‚;;;;;;;;;;;2009-02-03 16:59:36;2009-02-03 16:59:36;;;;;;
2410010036;Enchaud;2410010036;fr-fr;0;Enchaud;Enchaud;Enchaud;Enchaud;Enchaud;;Enchaud;;;2410010036;;;;0,95;;1;0;;12;;1;7;;;Enchaud;;;;;;;;;;19;;228,489;;Proximit‚ PGC - Proximit‚;;;;;;;;;;;2009-02-03 16:59:37;2009-02-03 16:59:37;;;;;;
2410010037;Grillade de porc;2410010037;fr-fr;0;Grillade de porc;Grillade de porc;Grillade de porc;Grillade de porc;Grillade de porc;catalog/PRODUIT/LAZINIERE/2410010037-1.jpg;Grillade de porc;;;2410010037;;;;0,95;;1;1;;12;;1;7;;;Grillade de porc;;;;;;;;;;19;;226,475,489;;Proximit‚ PGC - Proximit‚;;;;;;;;;;;2009-02-03 16:59:38;2009-02-03 16:59:38;;;;;;
2410010038;Jambon du Pays Basque;2410010038;fr-fr;0;Jambon du Pays Basque;Jambon du Pays Basque;Jambon du Pays Basque;Jambon du Pays Basque;Jambon du Pays Basque;catalog/PRODUIT/LAZINIERE/2410010038-1.jpg;Jambon du Pays Basque;;;2410010038;;;;0,95;;1;1;;12;;1;7;;;Jambon du Pays Basque;;;;;;;;;;19;;228,485,489;;Proximit‚ PGC - Proximit‚;;;;;;;;;;;2009-02-03 16:59:39;2009-02-03 16:59:39;;;;;;
2410010039;Ventre de veau;2410010039;fr-fr;0;Ventre de veau;Ventre de veau;Ventre de veau;Ventre de veau;Ventre de veau;;Ventre de veau;;;2410010039;;;;0,95;;1;0;;12;;1;7;;;Ventre de veau;;;;;;;;;;19;;228,489;;Proximit‚ PGC - Proximit‚;;;;;;;;;;;2009-02-03 16:59:40;2009-02-03 16:59:40;;;;;;
2410010040;Saucisse confite;2410010040;fr-fr;0;Saucisse confite;Saucisse confite;Saucisse confite;Saucisse confite;Saucisse confite;catalog/PRODUIT/LAZINIERE/2410010040-1.jpg;Saucisse confite;;;2410010040;;;;0,95;;1;1;;12;;1;7;;;Saucisse confite;;;;;;;;;;19;;228,489,494;;Proximit‚ PGC - Proximit‚;;;;;;;;;;;2009-02-03 16:59:41;2009-02-03 16:59:41;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
